Технические аксессуары  общие 1;AAC;0,28
Кузовные детали 1;ABC;0,08
Общие детали повышенного спроса;ABE;0,20
Кузовные детали 3;ABN;0,30
Детали повышенного спроса;ADS;0,20
Аксессуары общие;AFM;0,30
Детали общего назначения;AMA;0,09
Специнструмент и каталоги;AMN;0,30
Восстановленные механические узлы;ATC;0,00
Крупные кузовные детали;F17;0,15
Основные механические узлы;F20;0,18
Восстановленные механические и электрические детали;F22;0,18
Восстановленные механические и электрические детали 1;F24;0,18
Механические детали и компоненты;F25;0,20
Кузовные панели;F26;0,23
Прочие кузовные детали;F27;0,25
Детали сцепления и тормозной системы;F33;0,32
Детали подвески и рулевого управления;F34;0,32
Детали системы впрыска;F35;0,32
Двери и боковины кузова;F36;0,32
Детали повышенного спроса 2;F40;0,37
Кузовные элементы;F43;0,37
Тормозные колодки;F48;0,40
Прочие кузовные детали 2;F50;0,37
Фары и фонари;F51;0,40
Детали повышенного спроса 2;F52;0,40
Электрооборудование;F54;0,44
Детали повышенного износа;FEO;0,30
Коллекционные аксессуары;FFM;0,30
Детали общего назначения;FMA;0,24
Технические аксессуары;FME;0,30
Каталоги и специнструмент;FTA;0,24
Локальные запчасти и аксессуары;FTC;0,00
Локальные запчасти и аксессуары;FL1;0,12
Аксессуары Fullback;FL2;0,26
Детали общего назначения 1;FP1;0,23
Детали общего назначения 2;FP9;0,20
Детали общего назначения 3;FP2;0,00
Детали общего назначения 4;FP3;0,00
Детали общего назначения 5;FP4;0,00
Детали общего назначения 6;FP5;0,00
Детали общего назначения 7;FP6;0,00
Детали общего назначения 8;FP7;0,00
Детали общего назначения 9;FP8;0,00
Детали общего назначения 10;AAE;0,06
Детали общего назначения 11;CSP;0,32
Детали общего назначения 12;CST;0,00
Детали общего назначения 13;CAC;0,30
Детали общего назначения 14;CAE;0,22
Детали общего назначения 15;C20;0,21
Детали общего назначения 16;CL1;0,26
Детали общего назначения 17;C22;0,22
Детали общего назначения 18;CLA;0,22
Детали общего назначения 19;CME;0,24
Детали общего назначения 20;C10;0,20
Детали общего назначения 21;CPA;0,00
Детали общего назначения 22;CP1;0,00
Детали общего назначения 23;CP2;0,00
Детали общего назначения 24;CP3;0,00
Детали общего назначения 25;CP4;0,00
Детали общего назначения 26;CP5;0,00
Детали общего назначения 27;CP6;0,00
Детали общего назначения 28;CP7;0,00
Детали общего назначения 29;CP8;0,00
Детали общего назначения 30;CP9;0,00
